City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,hargeysa,9.56,44.065,21.59,43,19,4.02,SO,1709683221
151,kruisfontein,-34.0033,24.7314,14.94,78,84,7.18,ZA,1709683370
152,tam ky,15.5667,108.4833,24.57,69,11,2.0,VN,1709683371
153,awjilah,29.1081,21.2869,13.04,57,0,4.1,LY,1709683371
154,malindi,-3.2175,40.1191,27.88,78,14,4.04,KE,1709683371
155,krasavino,60.9614,46.4814,-6.71,96,99,2.1,RU,1709683371
156,college,64.8569,-147.8028,-1.97,68,75,2.57,US,1709682690
157,sierra grande,-41.606,-65.3557,17.63,54,100,6.63,AR,1709683016
158,thompson,55.7435,-97.8558,-14.91,61,40,2.06,CA,1709682927
159,coronel oviedo,-25.4167,-56.45,24.45,76,82,1.09,PY,1709683372
160,rio grande,-32.035,-52.0986,23.06,70,4,5.73,BR,1709682992
161,kertih,4.5141,103.4483,25.05,100,40,0.0,MY,1709683372
162,ta`u,-14.2336,-169.5144,28.37,76,41,5.05,AS,1709682954
163,dzuunharaa,48.8523,106.4579,-17.24,94,99,0.59,MN,1709683373
164,afaahiti,-17.75,-149.2833,28.93,78,50,4.06,PF,1709682938
165,port elizabeth,-33.918,25.5701,18.16,72,0,11.32,ZA,1709682984
166,vadso,70.0744,29.7487,-3.51,86,20,6.17,NO,1709682928
167,georgetown,5.4112,100.3354,28.3,83,20,2.24,MY,1709682939
168,new norfolk,-42.7826,147.0587,22.73,36,0,2.13,AU,1709682942
169,vilyuchinsk,52.9306,158.4028,-5.85,73,72,3.94,RU,1709682624
170,happy valley-goose bay,53.3168,-60.3315,-6.83,100,100,0.0,CA,1709682964
171,chauk,20.8833,94.8167,22.94,38,1,3.61,MM,1709683374
172,viedma,-40.8135,-62.9967,17.2,59,97,7.11,AR,1709683374
173,mount pearl,47.5166,-52.7813,-0.58,77,40,7.72,CA,1709683217
174,paungde,18.4833,95.5,23.01,44,81,1.7,MM,1709683375
175,juneau,58.3019,-134.4197,-3.0,81,100,2.06,US,1709683172
176,badger,64.8,-147.5333,-2.02,71,75,2.57,US,1709682936
177,arkalyk,50.2486,66.9114,-11.98,96,92,4.4,KZ,1709682920
178,tazovsky,67.4667,78.7,-15.47,94,100,6.7,RU,1709682919
179,dampit,-8.2116,112.7493,24.08,89,100,0.61,ID,1709683375
180,smithers,54.7804,-127.1743,-5.82,45,0,1.54,CA,1709682990
181,silale,55.4906,22.1814,0.23,83,7,4.92,LT,1709682983
182,rongelap,11.1635,166.8941,26.39,77,88,11.61,MH,1709683376
183,chul'man,56.8479,124.9104,-17.33,97,100,1.02,RU,1709683376
184,forster,-32.1667,152.5167,26.32,70,47,3.83,AU,1709682947
185,altar,30.7,-111.8167,22.74,20,100,4.3,MX,1709683376
186,kushiro,42.975,144.3747,-5.47,73,40,3.6,JP,1709683255
187,kamaishi,39.2667,141.8833,2.04,86,100,3.37,JP,1709683357
188,lorengau,-2.0226,147.2712,29.09,74,100,1.43,PG,1709683015
189,siwa oasis,29.2041,25.5195,15.41,34,0,3.5,EG,1709683008
190,west island,-12.1568,96.8225,27.99,83,100,3.6,CC,1709682919
191,la passe,45.5549,-0.8967,7.13,86,100,3.95,FR,1709682906
192,weno,7.4515,151.8468,29.97,74,75,5.14,FM,1709682969
193,nova vicosa,-17.8919,-39.3719,26.62,85,86,4.96,BR,1709682940
194,whitehorse,60.7161,-135.0538,-9.39,45,75,6.71,CA,1709682928
195,al kut,32.5147,45.819,14.79,40,0,2.83,IQ,1709683378
196,bafoussam,5.4737,10.4179,20.39,77,100,1.15,CM,1709683378
197,nemuro,43.3236,145.575,-3.2,72,38,2.66,JP,1709682914
198,necochea,-38.5473,-58.7368,13.02,72,21,2.22,AR,1709683379
